Składniki	Складники
Mięso uwielbiane przez mieszczan z Archolos.	Улюблене м'ясо горожан Архолосу.
Delikatne, owcze mięso.	Ніжне овече м'ясо.
Tłuste mięso kretoszczura.	Жирне м'ясо кротощура.
Niezbyt smaczne i łykowate mięso.	Не дуже смачне і жилисте м'ясо.
Twarde i gorzkie mięso,	Жорстке і гірке м'ясо,
surowe nie nadaje się do jedzenia.	не придатне для їжі в сирому вигляді.
Twarde i gorzkie mięso.	Жорстке і гірке м'ясо,
Według niektórych każde mięso	Як дехто вважає, що будь-яке м'ясо
smakuje jak to ścierwojada.	на смак як м'ясо падальника.
Twardy, lecz pożywny wielki płat mięsa.	Жорсткий, але поживний великий шматок м'яса.
Tłusty i pożywny kawał mięsa.	Жирний і поживний шматок м'яса.
Uwielbiany przez łowców.	Мисливці його обожнюють.
Wyborne mięso, ukryte w twardym pancerzyku.	Відбірне м'ясо, заховане в міцному панцирі.
Surowe potrafi wywołać niepożądane efekty.	В сирому вигляді може викликати небажані наслідки.
Miód, który pomogłem stworzyć.	Мед, який я допоміг зібрати.
Pochodzi wyłącznie z kwiatów bzu.	Збирається виключно з квіток синьої бузини.
Etykieta wskazuje, że	На етикетці вказано, що йому
jest sprzed kilku dekad.	вже кілька десятків років.
Spore jajo ścierwojada,	Велике яйце падальника,
pożywne i smaczne, nawet na surowo.	поживне і смачне навіть у сирому вигляді.
Meals Pack	Харчовий набір
Prosty, warzywny dodatek, często zajadany	Простий овочевий гарнір, який часто
w towarzystwie potraw mięsnych, a przez	їдять з м'ясними стравами,
biedniejsze sfery w towarzystwie czerstwego chleba.	а бідніше населення - з черствим хлібом.
Wypiek wymyślony przez zaradnego karczmarza,	Випічка, яку винайшов винахідливий корчмар,
który resztki niedopitego piwa zużywał	який використав залишки недопитого пива
do produkcji ciasta chlebowego...	для приготування хлібного тіста...
Jeden z głównych napitków podawanych do	Один з основних напоїв, які подаються
posiłku przez mieszkańców Wilczego Leża.	до столу мешканцями Вовчого Лігва.
Duma pszczelarzy, którzy często kłócą się o to,	Гордість бджолярів, які часто сперечаються про те,
czyja receptura na ciastka jest najlepsza.	чий рецепт печива найкращий.
Chrupiący rarytas, rozpowszechniony wśród	Хрусткий делікатес, поширений серед
biedniejszych mieszkańców Archolos,	найбідніших мешканців Архолосу,
który przyrządzany jest z rybnych odpadków.	приготований з рибних решток.
Lokalny mięsny przysmak opiekany nad ogniskiem,	Місцевий м'ясний делікатес, підсмажений на багатті,
zajadany w okolicy Wilczego Leża i wioski Silbach.	який їдять в околицях Вовчого Лігва та в селі Зільбах.
Chrupkie źródło białka, często ratuje przed	Хрустке джерело білка, часто рятує від
głodem tych, którym nie poszczęściło się	голоду тих, кому не пощастило
podczas łowów.	на полюванні.
Pożywna zupa o ziołowym zapachu.	Поживний суп з ароматом трав.
W środku pływają kawałki kapusty.	Посередині плавають шматочки капусти.
Oślizgła, śmierdząca maź.	Слизке, смердюче місиво.
Wygląda jak przyrządzona przez kogoś	Виглядає так, ніби його варив хтось,
kto gotował po raz pierwszy w życiu.	хто готує вперше в житті.
Potrawa często zajadana	Страва, яку часто їдять
przez biedniejsze partie społeczeństwa,	бідніші верстви населення, які не можуть
którego nie stać na porządny kawałek mięsa.	дозволити собі пристойний шматок м'яса.
Wykwintny napój,	Вишуканий напій, який
na który mogą pozwolić sobie tylko nieliczni.	можуть дозволити собі лише одиниці.
Spożywany w dni świąteczne na cześć Adanosa.	Подається у святкові дні на честь Аданоса.
Proste danie, które znacznie	Проста страва, яка значно
wydłuża przydatność do spożycia rybiego mięsa.	подовжує термін зберігання риби.
Idealne dla podróżników.	Ідеально підходить для мандрівників.
Znana tylko podniebieniom z wyższych sfer,	Відомий тільки представникам вищого класу,
delikatna i niezwykle aromatyczna zielona zupa.	ніжний і надзвичайно ароматний суп з зеленню.
Puszyste bułki z nadzieniem jagodowym	Пишні булочки з чорничною начинкою.
to deser prosty i lubiany	Простий і улюблений десерт
przez wielu mieszkańców Archolos.	серед багатьох жителів Архолосу.
Zupa grzybowa imitująca mięsne flaczki mimo	Грибний суп, схожий на м'ясні нутрощі.
pochodzenia z kuchni biedoty cieszy się sławą	Хоч він і походить з кухні бідняків, цей суп
także wśród zamożniejszych smakoszy.	є досить відомим і серед більш заможних гурманів.
Prosta zupa z roślin zebranych nad rzeką.	Суп річкових рослин.
Ceniony na Archolos przysmak morski,	Цінний морський делікатес на Архолосі,
przyprawiony zębatym zielem.	приправленный снеппер-травою.
Smakowita potrawka z dzika	Смачна тушкована кабанятина
z warzywami i dodatkiem wina.	з овочами та вином.
Danie przyrządzane w dużych kotłach,	Страва, приготована у великому казані.
swym zapachem zwabia wszystkich okolicznych	Приваблює своїм ароматом усіх
mieszkańców i podróżnych.	місцевих жителів і мандрівників.
Ten rozgrzewający napar to marzenie	Цей зігріваючий напій - мрія
każdego mieszkańca podczas chłodniejszych	кожного жителя під час
nocy na Archolos.	холодних ночей на Архолосі.
Pikantne kotlety z rybiego mięsa,	Гострі рибні котлети,
przyprawione zielem.	приправлені зеленню.
Legendy o anielskim smaku tego dania	Легенди про янгольський смак цієї страви
przekazywane są przez każdego kuchcika na wyspach.	передаються кожним кухарем на островах.
Parujący wywar z resztek to najlepszy sposób	Приготування бульйону із залишків - це найкращий спосіб,
na efektywne wykorzystanie ostatków ze spiżarni.	щоб ефективно використати залишки їжі у коморі.
Gulasz z dostępnych zapasów w spiżarce rybaków,	Тушкована риба, з наявних у рибальській коморі запасів.
każdy z nich ma swój unikalny sposób	У кожного рибалки свій унікальний
na jego przyrządzanie.	спосіб її приготування.
Mieszanka mięsa, warzyw i ziela, zasmakuje każdemu,	Суміш м'яса, овочів і зелені, яка смакуватиме
kto łaknie ciepłego posiłku.	кожному, хто жадає теплої їжі.
Soczysta i chrupiąca zapiekanka,	Соковита та хрустка запіканка,
trzeba uważać, aby nie oparzyć sobie języka!	Треба бути обережним, щоб не обпекти язика!
Gruby kawał pieczywa z mięsem	Товстий шматок хліба з м'ясом.
to przekąska dobra w każdej sytuacji.	Це хороша закуска у будь-якій ситуації.
Pyszny, aromatyczny gulasz z zebranych grzybów.	Смачне, ароматне рагу з зібраних грибів.
Trzeba jednak uważać na trujące okazy, które	Однак, потрібно остерігатися отруйних видів,
przez przypadek mogły ubiec uwadze grzybiarza...	які могли випадково вислизнути від уваги грибника...
Słodki placek z jabłkami.	Солодкий яблучний пиріг.
Jeszcze nie znaleziono nikogo,	Поки що нема нікого, хто б відмовився
kto pogardziłby kawałkiem tego prostego wypieku.	від шматочка цієї простої випічки.
