%s - Poziom %d - Rozdział %d	%s - Рівень %d - Розділ %d
'Ciasto' z łajna	'Пиріг' з гною
Runa teleportująca do Wilczego Leża,	Руна телепортації до Вовчого Лігва,
Runa teleportująca do jaskini	Руна телепортації до печери
Runa teleportująca do kapliczki	Руна телепортації до каплиці
Runa teleportująca do kapliczki Adanosa	Руна телепортації до вівтаря Аданоса
Runa teleportująca do kapliczki Innosa	Руна телепортації до вівтаря Інноса
Runa teleportująca do klasztoru Magów Wody.	Руна телепортації до монастиря магів Води.
Runa teleportująca do latarni morskiej	Руна телепортації до маяка
Runa teleportująca do mojego domu	Руна телепортації до мого дому
Runa teleportująca do opuszczonej jaskini	Руна телепортації до покинутої печери
Runa teleportująca do starej krypty	Руна телепортації до старої гробниці
Runa teleportująca do twierdzy Vardhal.	Руна телепортації до фортеці Вардхал.
Runa teleportująca do zniszczonej wieży	Руна телепортації до зруйнованої вежі
Rutyna patrolowa Arethe	Патруль Арета
Ryba	Риба
Ryba jest nienaturalnie wybrzuszona.	Ця рибина неприродньо випукла.
Ryba w cieście piwnym	Риба у пивній паніровці
Ryba w occie z zębatym zielem	Риба в оцті зі снеппер-травою
Rybak	Рибалка
Rybny kupiec	Торговець рибою
Rycerskie ostrze	Лицарський клинок
Rychu - Czujesz bryłę?	Rychu – 'Це часом не пухлина?'
Rychła Śmierć	Неминуча смерть
Ryzykowne przedsięwzięcie	Ризикована авантюра
Rzeczny krwiopijca	Річковий шершень
Rzeczny mirt	Річковий мирт
Rzepa	Ріпа
Rzeźnik	Різник
Róg	Ріг
Róg cieniostwora	Ріг тінезвіра
Róg smoczego zębacza	Ріг драконячого снеппера
Równowaga	Баланс
Rębiczerep	Розколювач черепів
Ręka szkieletu	Рука скелета
SJN - '„Corridors” to dobre miejsce na spacer. Popatrz na muzykę, ona Cię poprowadzi'	SJN – 'Коридори — гарне місце для прогулянки. Прислухайся до музики, вона скерує тебе'
Sadło bagiennego szczura	Жир болотного щура
Sakiewka	Гаманець
Sakiewka Elida	Гаманець Еліда
Sakiewka Larry'ego	Гаманець Ларрі
Sakiewka od Południowca	Гаманець південця
Sakiewka starych monet	Гаманець зі старими монетами
Sakiewka z zapłatą dla Kurta.	Гаманець з оплатою для Курта.
Sakiewka zabrana Larry'emu	Гаманець, який у Ларрі
Sarkofag	Саркофаг
Schemat	Креслення
Schemat: Antyczna włócznia	Креслення: Стародавній спис
Schemat: Balista	Креслення: Баліста
Schemat: Brzozowy łuk	Креслення: Березовий лук
Schemat: Błękitny Orzeł	Креслення: Синій орел
Schemat: Ciachacz	Креслення: Різак
Schemat: Cierń	Креслення: Терн
Schemat: Ciężka Kusza	Креслення: Важкий арбалет
Schemat: Ciężki magiczny miecz dwuręczny	Креслення: Важкий дворучний магічний меч
Schemat: Czerwony łuk	Креслення: Червоний лук
Schemat: Dobry dwuręczny miecz strażnika	Креслення: Хороший дворучний меч вартового
Schemat: Dobry długi miecz	Креслення: Хороший довгий меч
Schemat: Dobry krótki miecz	Креслення: Хороший короткий меч
Schemat: Dobry miecz półtoraręczny	Креслення: Хороший полуторний меч
Schemat: Dobry miecz strażnika	Креслення: Хороший меч вартового
Schemat: Duży nóż	Креслення: Великий ніж
Schemat: Dwuręczny miecz strażnika	Креслення: Дворучний меч вартового
Schemat: Dłoń Paladyna	Креслення: Правиця паладина
Schemat: Długa szabla	Креслення: Довга шабля
Schemat: Długi miecz magiczny	Креслення: Довгий магічний меч
Schemat: Grawerowane ostrze	Креслення: Гравійований клинок
Schemat: Grom	Креслення: Громовиця
Schemat: Grzmot	Креслення: Грім
Schemat: Inkwizytor	Креслення: Інквізитор
Schemat: Jastrząb	Креслення: Яструб
Schemat: Kiepski miecz dwuręczny	Креслення: Грубий дворучний меч
Schemat: Kiepskie ostrze magiczne	Креслення: Грубий магічний клинок
Schemat: Kosa	Креслення: Коса
Schemat: Kostur sędziego	Креслення: Посох судді
Schemat: Kościany łuk	Креслення: Кістяний лук
Schemat: Krwawy żniwiarz	Креслення: Кривавий жнець
Schemat: Królobójca	Креслення: Вбивця королів
Schemat: Krótki miecz wartownika	Креслення: Короткий меч охоронця
Schemat: Kusza jesionowa	Креслення: Ясеневий арбалет
Schemat: Kusza myśliwska	Креслення: Мисливський арбалет
Schemat: Kusza pokryta magiczną rudą	Креслення: Вкритий магічною рудою арбалет
Schemat: Kusza łowcy pełzaczy	Креслення: Арбалет мисливця на повзунів
Schemat: Kąsacz	Креслення: Кусач
Schemat: Lekka kusza	Креслення: Легкий арбалет
Schemat: Lekki łuk jesionowy	Креслення: Ясеневий лук
Schemat: Magiczne ostrze z czystej rudy	Креслення: Магічний клинок з чистої руди
Schemat: Magiczny miecz dwuręczny	Креслення: Дворучний магічний меч
Schemat: Miażdżyciel	Креслення: Роздроблювач
Schemat: Miecz Bękarci	Креслення: Полуторний меч
Schemat: Miecz Południowca	Креслення: Меч південця
Schemat: Miecz mistrzowski	Креслення: Шпага майстра
Schemat: Miecz pojedynkowy	Креслення: Дуельний меч
Schemat: Miecz półtoraręczny pokryty rudą	Креслення: Вкритий рудою полуторний меч
Schemat: Miecz strażnika	Креслення: Меч вартового
Schemat: Miecz żołnierski	Креслення: Солдатський меч
Schemat: Morgensztern	Креслення: Моргенштерн
Schemat: Mściciel	Креслення: Месник
Schemat: Nordmarska włócznia	Креслення: Нордмарський спис
Schemat: Nordmarski młot	Креслення: Нордмарський молот
Schemat: Nóż do mięsa	Креслення: Ніж різника
Schemat: Oszczep	Креслення: Кортик
Schemat: Podrzynacz	Креслення: Горлоріз
Schemat: Poganiacz Niewolników	Креслення: Погонич рабів
Schemat: Postrach kłód	Креслення: Страх колод
Schemat: Postrach Żeglarzy	Креслення: Страх моряків
Schemat: Przysmak Korników	Креслення: Ласощі короїдів
Schemat: Pustynny łuk	Креслення: Пустельний лук
Schemat: Rozbijca	Креслення: Руйнівник
